ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12591439,JF111800,1/13/2022 15:14,020XX W HOWARD ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,2424,24,49,1,08A,1161579,1950354,2022,1/3/2023 15:46,42.01945095,-87.68074206,"(42.019450952, -87.680742064)"
12589771,JF109737,1/4/2022 1:32,034XX W DEVON AVE,1120,DECEPTIVE PRACTICE,FORGERY,OTHER (SPECIFY),FALSE,FALSE,1711,17,50,13,10,1152439,1942216,2022,1/3/2023 15:46,41.99730622,-87.71459282,"(41.997306221, -87.714592816)"
12565821,JE475344,12/11/2021 20:00,077XX S MAY ST,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,612,6,17,71,17,1169996,1853419,2021,9/27/2022 16:46,41.75327445,-87.6525983,"(41.753274445, -87.652598299)"
12562229,JE470970,12/7/2021 15:00,030XX S DR MARTIN LUTHER KING JR DR,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,SCHOOL - PUBLIC BUILDING,TRUE,FALSE,133,1,4,35,17,1179306,1885032,2021,9/11/2022 16:44,41.83981621,-87.61751617,"(41.839816207, -87.617516172)"
12541099,JE445417,11/14/2021 22:58,003XX N LAVERGNE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,1532,15,28,25,15,1142984,1901704,2021,11/21/2021 15:48,41.88631971,-87.75038794,"(41.886319707, -87.750387937)"
12541124,JE445420,11/14/2021 22:46,018XX W 19TH ST,031A,ROBBERY,ARMED - HANDGUN,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1234,12,25,31,3,1164405,1890769,2021,11/21/2021 15:48,41.85588686,-87.67203414,"(41.855886862, -87.672034139)"
12541107,JE445421,11/14/2021 22:45,073XX N SHERIDAN RD,560,ASSAULT,SIMPLE,NURSING / RETIREMENT HOME,FALSE,FALSE,2423,24,49,1,08A,1165900,1948917,2021,11/21/2021 15:48,42.0154163,-87.66488261,"(42.015416301, -87.664882614)"
12541864,JE446304,11/14/2021 22:30,071XX S YALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,731,7,6,69,08B,1175862,1857528,2021,11/21/2021 15:48,41.76442065,-87.63097876,"(41.764420649, -87.630978762)"
12541752,JE445403,11/14/2021 22:17,015XX W PRATT BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2432,24,49,1,08B,1164495,1945249,2021,11/21/2021 15:48,42.00538123,-87.67015707,"(42.00538123, -87.670157072)"
12541109,JE445429,11/14/2021 22:10,033XX S OAKLEY AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE - GARAGE,FALSE,FALSE,912,9,25,59,15,1161567,1882423,2021,11/21/2021 15:48,41.83304406,-87.68268308,"(41.833044064, -87.682683083)"
12541554,JE445008,11/14/2021 22:05,102XX W ZEMKE RD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,FALSE,FALSE,1654,16,41,76,7,1107103,1941061,2021,11/21/2021 15:48,41.99491455,-87.88139322,"(41.994914548, -87.881393217)"
12543782,JE448204,11/14/2021 22:00,033XX S LITUANICA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,913,9,11,60,14,1170854,1882650,2021,11/21/2021 15:48,41.83346889,-87.64860084,"(41.83346889, -87.648600844)"
